Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
0.0000,1,,,,,42.94
0.1043,2,,,,,39.60
0.1384,3,,,,,39.38
0.1813,4,,,,,37.65
0.2208,5,,,,,35.19
0.2951,6,,,,,34.12
0.3294,7,,,,,33.27
0.4082,8,,,,,30.88
0.4544,9,,,,,43.10
0.4850,10,,,,,41.37
0.5205,11,,,,,40.90
0.5631,12,,,,,37.86
0.6176,13,,,,,42.88
0.6526,14,,,,,42.13
0.7355,15,,,,,38.72
0.7839,16,,,,,41.68
0.8206,17,,,,,40.71
0.8540,18,,,,,40.17
0.8879,19,,,,,39.04
0.9216,20,,,,,36.30
0.9909,21,,,,,35.92
1.0517,22,,,,,34.25
1.1599,23,,,,,31.62
1.1921,24,,,,,36.05
1.2318,25,,,,,35.40
1.2784,26,,,,,32.68
1.3600,27,,,,,37.19
1.3914,28,,,,,37.44
1.4559,29,,,,,34.43
1.5313,30,,,,,39.19
1.5642,31,,,,,38.94
1.5981,32,,,,,38.13
1.6398,33,,,,,35.41
1.6946,34,,,,,50.78
1.7374,35,,,,,48.16
1.7963,36,,,,,44.25
1.8497,37,,,,,48.55
1.8854,38,,,,,47.27
1.9599,39,,,,,43.36
2.0126,40,,,,,46.11
2.0580,41,,,,,44.40
2.1521,42,,,,,40.85
2.1702,43,,,,,43.18
2.2052,44,,,,,42.32
2.2688,45,,,,,38.95
2.3339,46,,,,,42.40
2.3681,47,,,,,41.24
2.4327,48,,,,,38.09
2.4886,49,,,,,41.69
2.5297,50,,,,,40.16
2.5999,51,,,,,37.20
2.6432,52,,,,,37.64
2.6790,53,,,,,36.72
2.7398,54,,,,,33.96
2.8026,55,,,,,38.51
2.8353,56,,,,,37.32
2.9183,57,,,,,34.51
2.9568,58,,,,,38.71
2.9913,59,,,,,39.10
3.0714,60,,,,,36.00
3.1259,61,,,,,39.56
3.1654,62,,,,,38.29
3.2401,63,,,,,35.48
3.2860,64,,,,,35.15
3.3174,65,,,,,35.70
3.3754,66,,,,,32.98
3.4458,67,,,,,36.89
3.4782,68,,,,,35.88
3.5413,69,,,,,33.14
3.6129,70,,,,,36.69
3.6574,71,,,,,35.73
3.7275,72,,,,,33.14
3.7590,73,,,,,36.06
3.7974,74,,,,,36.92
3.8335,75,,,,,36.00
3.8718,76,,,,,33.34
3.9437,77,,,,,36.55
3.9795,78,,,,,35.89
4.0138,79,,,,,36.35
4.0880,80,,,,,33.66
4.1201,81,,,,,36.53
4.1606,82,,,,,36.96
4.2805,83,,,,,34.00
4.3033,84,,,,,41.40
4.3328,85,,,,,39.97
4.3674,86,,,,,40.17
4.4085,87,,,,,37.17
4.4655,88,,,,,39.62
4.5001,89,,,,,39.27
4.5630,90,,,,,36.22
4.6397,91,,,,,36.19
4.6576,92,,,,,37.48
4.7329,93,,,,,34.64
4.7847,94,,,,,39.16
4.8185,95,,,,,39.54
4.9121,96,,,,,36.44
4.9364,97,,,,,38.82
4.9700,98,,,,,39.39
5.0041,99,,,,,38.95
5.0644,100,,,,,36.06
5.1116,101,,,,,37.17
5.1367,102,,,,,37.53
5.2057,103,,,,,34.64
5.2688,104,,,,,39.09
5.3009,105,,,,,38.39
5.3388,106,,,,,35.39
5.4284,107,,,,,44.84
5.4642,108,,,,,43.10
5.5726,109,,,,,39.65
5.6121,110,,,,,38.88
5.6477,111,325.04019789734076,410.1100803957947,,,38.35
5.6931,112,317.0897708480983,410.43278998346324,,,35.38
5.7694,113,373.26161790017215,413.7441193344808,,,47.82
5.8106,114,394.3870151770658,414.9319842608207,,,44.97
5.8489,115,416.91391076115485,416.42230971128606,15.859753565014444,,41.71
5.9456,116,494.4859887910328,419.5148118494796,,,39.43
5.9827,117,524.2980613893376,419.96068928379106,,,38.45
6.0292,118,580.1583777383066,420.77175843694494,,,36.02
6.1204,119,636.2844534962661,420.38187372708757,,,34.05
6.1558,120,636.2844534962661,420.38187372708757,97.87534450133415,,33.24
6.2155,121,724.8604963112004,419.0623742454728,,,30.60
6.3121,122,801.1814556331008,416.0023263542705,,,37.29
6.3458,123,825.5487959442332,414.5335868187579,,,36.34
6.3862,124,848.126624357812,413.55726805681473,,,33.42
