Time_s,FrameCount,X_px,Y_px,Amp_X,Freq_Hz,FPS
0.0000,1,,,,,76.81
0.1009,2,,,,,70.07
0.1355,3,,,,,66.47
0.1722,4,,,,,62.72
0.2185,5,,,,,57.77
0.2851,6,,,,,54.00
0.3267,7,,,,,51.55
0.3850,8,,,,,47.30
0.4454,9,,,,,48.13
0.4843,10,,,,,46.65
0.5166,11,,,,,43.99
0.5887,12,,,,,41.13
0.6049,13,,,,,43.28
0.6448,14,,,,,43.12
0.7411,15,,,,,39.69
0.7633,16,,,,,44.15
0.8045,17,,,,,42.52
0.8389,18,,,,,41.17
0.8899,19,,,,,38.58
0.9528,20,,,,,36.81
1.0095,21,,,,,34.50
1.0439,22,,,,,32.30
1.1298,23,,,,,31.63
1.1706,24,,,,,31.49
1.2322,25,,,,,29.23
1.3081,26,,,,,30.45
1.3414,27,,,,,30.29
1.4046,28,,,,,28.13
1.4707,29,,,,,30.76
1.5067,30,,,,,31.02
1.5707,31,,,,,28.77
1.6333,32,,,,,35.85
1.6706,33,,,,,35.17
1.7102,34,,,,,32.69
1.8015,35,,,,,32.43
1.8411,36,,,,,31.68
1.8930,37,,,,,29.41
1.9587,38,,,,,37.89
1.9985,39,,,,,36.54
2.0520,40,,,,,33.85
2.1230,41,,,,,37.14
2.1688,42,,,,,35.59
2.2289,43,,,,,33.16
2.2657,44,,,,,36.39
2.3014,45,,,,,35.99
2.3350,46,,,,,33.25
2.4265,47,,,,,39.99
2.4617,48,,,,,38.60
2.5490,49,,,,,35.69
2.5803,50,,,,,59.17
2.6119,51,,,,,55.47
2.6463,52,,,,,54.29
2.6808,53,,,,,49.97
2.7542,54,,,,,48.67
2.7913,55,,,,,46.98
2.9008,56,,,,,43.15
2.9123,57,,,,,46.69
2.9519,58,,,,,45.04
3.0030,59,,,,,41.51
3.0677,60,,,,,46.42
3.1010,61,,,,,45.20
3.1721,62,,,,,41.60
3.2143,63,,,,,45.44
3.2546,64,,,,,43.65
3.3491,65,,,,,40.12
3.3810,66,,,,,54.85
3.4229,67,,,,,51.95
3.4849,68,,,,,47.64
3.5427,69,,,,,48.43
3.5775,70,,,,,46.49
3.6171,71,,,,,42.74
3.7068,72,,,,,50.42
3.7394,73,,,,,47.83
3.7884,74,,,,,43.92
3.8681,75,,,,,50.79
3.9059,76,,,,,48.21
3.9353,77,,,,,47.78
3.9798,78,,,,,43.98
4.0407,79,,,,,58.97
4.0761,80,,,,,55.43
4.1407,81,,,,,50.77
4.2034,82,,,,,67.42
4.2483,83,,,,,62.81
4.3091,84,,,,,57.46
4.3610,85,,,,,64.43
4.4019,86,,,,,60.36
4.4851,87,,,,,55.20
4.5239,88,,,,,78.69
4.5679,89,,,,,73.17
4.6205,90,,,,,66.72
4.6968,91,,,,,66.10
4.7442,92,,,,,61.75
4.8048,93,,,,,56.58
4.8488,94,,,,,56.51
4.8804,95,,,,,55.07
4.9411,96,,,,,50.45
5.0038,97,,,,,64.74
5.0476,98,,,,,60.48
5.1250,99,,,,,55.38
5.1577,100,,,,,60.00
5.1975,101,,,,,56.89
